2016-10-20 18:27:38 install libc-bin:armhf <none> 2.19-18+deb8u6
2016-10-20 18:27:38 status half-installed libc-bin:armhf 2.19-18+deb8u6
2016-10-20 18:27:38 status unpacked libc-bin:armhf 2.19-18+deb8u6
2016-10-20 18:27:38 status unpacked libc-bin:armhf 2.19-18+deb8u6
2016-10-20 18:27:39 upgrade libc6:armhf 2.19-18+deb8u6 2.19-18+deb8u6
2016-10-20 18:27:39 status half-configured libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:39 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:39 status half-installed libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:40 status half-installed libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:40 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:40 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:40 install multiarch-support:armhf <none> 2.19-18+deb8u6
2016-10-20 18:27:40 status half-installed multiarch-support:armhf 2.19-18+deb8u6
2016-10-20 18:27:41 status unpacked multiarch-support:armhf 2.19-18+deb8u6
2016-10-20 18:27:41 status unpacked multiarch-support:armhf 2.19-18+deb8u6
2016-10-20 18:27:41 install grep:armhf <none> 2.20-4.1
2016-10-20 18:27:41 status half-installed grep:armhf 2.20-4.1
2016-10-20 18:27:41 status unpacked grep:armhf 2.20-4.1
2016-10-20 18:27:41 status unpacked grep:armhf 2.20-4.1
2016-10-20 18:27:41 install gzip:armhf <none> 1.6-4
2016-10-20 18:27:41 status half-installed gzip:armhf 1.6-4
2016-10-20 18:27:41 status unpacked gzip:armhf 1.6-4
2016-10-20 18:27:41 status unpacked gzip:armhf 1.6-4
2016-10-20 18:27:41 install hostname:armhf <none> 3.15
2016-10-20 18:27:41 status half-installed hostname:armhf 3.15
2016-10-20 18:27:41 status unpacked hostname:armhf 3.15
2016-10-20 18:27:41 status unpacked hostname:armhf 3.15
2016-10-20 18:27:41 install init:armhf <none> 1.22
2016-10-20 18:27:41 status half-installed init:armhf 1.22
2016-10-20 18:27:41 status unpacked init:armhf 1.22
2016-10-20 18:27:41 status unpacked init:armhf 1.22
2016-10-20 18:27:42 install insserv:armhf <none> 1.14.0-5
2016-10-20 18:27:42 status half-installed insserv:armhf 1.14.0-5
2016-10-20 18:27:42 status unpacked insserv:armhf 1.14.0-5
2016-10-20 18:27:42 status unpacked insserv:armhf 1.14.0-5
2016-10-20 18:27:42 install libkmod2:armhf <none> 18-3
2016-10-20 18:27:42 status half-installed libkmod2:armhf 18-3
2016-10-20 18:27:42 status unpacked libkmod2:armhf 18-3
2016-10-20 18:27:42 status unpacked libkmod2:armhf 18-3
2016-10-20 18:27:42 install libcap2:armhf <none> 1:2.24-8
2016-10-20 18:27:42 status half-installed libcap2:armhf 1:2.24-8
2016-10-20 18:27:42 status unpacked libcap2:armhf 1:2.24-8
2016-10-20 18:27:42 status unpacked libcap2:armhf 1:2.24-8
2016-10-20 18:27:42 install libcap2-bin:armhf <none> 1:2.24-8
2016-10-20 18:27:42 status half-installed libcap2-bin:armhf 1:2.24-8
2016-10-20 18:27:42 status unpacked libcap2-bin:armhf 1:2.24-8
2016-10-20 18:27:42 status unpacked libcap2-bin:armhf 1:2.24-8
2016-10-20 18:27:42 install libgcrypt20:armhf <none> 1.6.3-2+deb8u2
2016-10-20 18:27:42 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u2
2016-10-20 18:27:43 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2016-10-20 18:27:43 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2016-10-20 18:27:43 install libgpg-error0:armhf <none> 1.17-3
2016-10-20 18:27:43 status half-installed libgpg-error0:armhf 1.17-3
2016-10-20 18:27:43 status unpacked libgpg-error0:armhf 1.17-3
2016-10-20 18:27:43 status unpacked libgpg-error0:armhf 1.17-3
2016-10-20 18:27:43 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2016-10-20 18:27:43 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2016-10-20 18:27:43 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-10-20 18:27:43 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-10-20 18:27:43 install libselinux1:armhf <none> 2.3-2
2016-10-20 18:27:43 status half-installed libselinux1:armhf 2.3-2
2016-10-20 18:27:43 status unpacked libselinux1:armhf 2.3-2
2016-10-20 18:27:43 status unpacked libselinux1:armhf 2.3-2
2016-10-20 18:27:43 install libsemanage-common:all <none> 2.3-1
2016-10-20 18:27:43 status half-installed libsemanage-common:all 2.3-1
2016-10-20 18:27:43 status unpacked libsemanage-common:all 2.3-1
2016-10-20 18:27:43 status unpacked libsemanage-common:all 2.3-1
2016-10-20 18:27:44 install libsemanage1:armhf <none> 2.3-1+b1
2016-10-20 18:27:44 status half-installed libsemanage1:armhf 2.3-1+b1
2016-10-20 18:27:44 status unpacked libsemanage1:armhf 2.3-1+b1
